#: table_doi: 10.17182/hepdata.86210.v1/t2
#: name: Table 2
#: description: Transverse momentum spectra of charged particles in PbPb collisions in nine centrality classes.
#: data_file: Fig3_PbPb_5020GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword cmenergies: 5020
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
2.9,2.8,3.0,18.41553,0.015149,-0.015149,0.36803,-0.36803
3.1,3.0,3.2,12.8612,0.011742,-0.011742,0.2625,-0.2625
3.3,3.2,3.4,9.053837,0.0081206,-0.0081206,0.19523,-0.19523
3.5,3.4,3.6,6.423955,0.0063883,-0.0063883,0.13904,-0.13904
3.7,3.6,3.8,4.532844,0.0052073,-0.0052073,0.09915,-0.09915
3.9,3.8,4.0,3.270352,0.0042172,-0.0042172,0.071615,-0.071615
4.25,4.0,4.5,1.906534,0.0019982,-0.0019982,0.041963,-0.041963
4.75,4.5,5.0,0.9355272,0.0013097,-0.0013097,0.021238,-0.021238
5.25,5.0,5.5,0.4809937,0.00091781,-0.00091781,0.0091945,-0.0091945
5.75,5.5,6.0,0.2780689,0.00067747,-0.00067747,0.0054107,-0.0054107
6.25,6.0,6.5,0.1673462,0.00051207,-0.00051207,0.0027645,-0.0027645
6.75,6.5,7.0,0.1114556,0.00041281,-0.00041281,0.0020163,-0.0020163
7.5,7.0,8.0,0.06665654,0.00022683,-0.00022683,0.0012568,-0.0012568
8.5,8.0,9.0,0.03555125,0.00016351,-0.00016351,0.00062565,-0.00062565
9.5,9.0,10.0,0.02109072,0.00012446,-0.00012446,0.00039356,-0.00039356
10.5,10.0,11.0,0.01312576,9.7032e-05,-9.7032e-05,0.00027287,-0.00027287
11.5,11.0,12.0,0.008902597,7.9617e-05,-7.9617e-05,0.00019324,-0.00019324
12.5,12.0,13.0,0.005995331,6.5168e-05,-6.5168e-05,0.00013572,-0.00013572
13.5,13.0,14.0,0.004222516,5.4877e-05,-5.4877e-05,0.00010221,-0.00010221
14.5,14.0,15.0,0.0031116,4.7058e-05,-4.7058e-05,7.8226e-05,-7.8226e-05
15.5,15.0,16.0,0.002330698,4.0695e-05,-4.0695e-05,6.0796e-05,-6.0796e-05
17.0,16.0,18.0,0.001526187,2.3298e-05,-2.3298e-05,4.2004e-05,-4.2004e-05
19.0,18.0,20.0,0.0009284678,1.8149e-05,-1.8149e-05,2.7364e-05,-2.7364e-05
21.0,20.0,22.0,0.0006070645,1.4991e-05,-1.4991e-05,2.0475e-05,-2.0475e-05
23.0,22.0,24.0,0.0003966409,1.2115e-05,-1.2115e-05,1.4124e-05,-1.4124e-05
25.0,24.0,26.0,0.0002784791,1.0149e-05,-1.0149e-05,1.0449e-05,-1.0449e-05
28.0,26.0,30.0,0.0001644517,5.5125e-06,-5.5125e-06,6.6524e-06,-6.6524e-06
32.0,30.0,34.0,8.69286e-05,4.0055e-06,-4.0055e-06,3.8635e-06,-3.8635e-06
37.0,34.0,40.0,4.471132e-05,2.3435e-06,-2.3435e-06,2.2154e-06,-2.2154e-06
45.0,40.0,50.0,1.565067e-05,1.0724e-06,-1.0724e-06,9.064e-07,-9.064e-07

#: CENT,,,10-20 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.175,0.15,0.2,1370.538,0.7917,-0.7917,61.34,-61.34
0.225,0.2,0.25,1464.81,0.47789,-0.47789,46.251,-46.251
0.275,0.25,0.3,1450.488,0.39077,-0.39077,39.695,-39.695
0.32499999999999996,0.3,0.35,1401.463,0.33983,-0.33983,28.923,-28.923
0.375,0.35,0.4,1324.615,0.30617,-0.30617,26.974,-26.974
0.42500000000000004,0.4,0.45,1233.751,0.28002,-0.28002,25.831,-25.831
0.475,0.45,0.5,1137.353,0.26298,-0.26298,23.859,-23.859
0.525,0.5,0.55,1044.0,0.25414,-0.25414,21.043,-21.043
0.575,0.55,0.6,957.928,0.24501,-0.24501,19.049,-19.049
