#: table_doi: 10.17182/hepdata.86210.v1/t5
#: name: Table 5
#: description: Ratio Data/MC
#: data_file: Fig4.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DATA/MC
#: keyword cmenergies: 5020 and 2760
#: ETARAP,,,-0.8 - 0.8
#: RATIO,,,DATA/EPOS
#: RE,,,P P --> CHARGED X
#: SQRT(S),,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,DATA / MC,stat +,stat -,sys +,sys -
2.5,2.4,2.6,1.111936,0.0015182,-0.0015182,0.043558,-0.043558
2.7,2.6,2.8,1.112016,0.0017918,-0.0017918,0.04192,-0.04192
2.9,2.8,3.0,1.120569,0.0020938,-0.0020938,0.042423,-0.042423
3.1,3.0,3.2,1.121038,0.0024498,-0.0024498,0.04557,-0.04557
3.4000000000000004,3.2,3.6,1.125818,0.0020907,-0.0020907,0.043427,-0.043427
3.8,3.6,4.0,1.126709,0.002742,-0.002742,0.04731,-0.04731
4.5,4.0,5.0,1.116254,0.0025977,-0.0025977,0.044167,-0.044167
5.5,5.0,6.0,1.082278,0.0044389,-0.0044389,0.039896,-0.039896
7.0,6.0,8.0,1.049841,0.0056901,-0.0056901,0.040156,-0.040156
9.0,8.0,10.0,0.99782,0.011456,-0.011456,0.036278,-0.036278
11.5,10.0,13.0,0.987214,0.017656,-0.017656,0.03533,-0.03533
16.5,13.0,20.0,0.936268,0.028351,-0.028351,0.039054,-0.039054
25.0,20.0,30.0,0.984965,0.072777,-0.072777,0.039205,-0.039205
40.0,30.0,50.0,0.845537,0.18918,-0.18918,0.043122,-0.043122

